Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Pedaladas totales,Swolf medio,Velocidad media de palada,Pasos,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo en sala,2026-02-01 21:19:52,false,"Ciclismo en sala","0,00","655","01:00:02","150","170","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","12,0","No","01:00:02","1","17,0","--","--","00:00:00","01:02:23","733","744"
Ciclismo en sala,2026-01-31 07:55:32,false,"Ciclismo en sala","0,00","300","00:25:02","156","197","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","12,0","No","00:25:02","1","15,0","--","--","00:00:00","00:25:02","709","713"
Ciclismo en sala,2026-01-30 15:26:26,false,"Ciclismo en sala","0,00","731","01:00:02","159","173","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","14,0","No","01:00:02","1","17,0","--","--","00:00:00","01:00:02","755","764"
Ciclismo en sala,2026-01-28 19:48:54,false,"Ciclismo en sala","0,00","679","01:00:02","152","171","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","14,0","No","01:00:02","1","16,0","--","--","00:00:00","01:00:52","774","778"
Carrera,2026-01-28 08:48:00,false,"Carrera","3,00","236","00:17:00","--","--","--","--","--","5:40","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","No","16:00:00","1","--","0","0","--:--:--","16:00:00","--","--"
Carrera,2026-01-27 19:10:12,false,"Carrera","0,00","165","00:16:00","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","No","00:16:00","1","--","0","0","--:--:--","00:16:00","--","--"
Ciclismo en sala,2026-01-27 12:14:33,false,"Ciclismo en sala","0,00","755","01:05:42","157","174","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","17,0","No","01:05:42","1","23,0","--","--","00:00:00","01:11:58","826","832"
Ciclismo en sala,2026-01-25 17:12:56,false,"Ciclismo en sala","0,00","650","00:52:03","160","171","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","12,0","No","00:52:03","1","18,0","--","--","00:00:00","00:53:12","750","775"
Ciclismo en sala,2026-01-24 20:31:01,false,"Ciclismo en sala","0,00","501","00:36:40","170","187","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","15,0","No","00:36:40","1","16,0","--","--","00:00:00","00:36:40","738","741"
Carrera,2026-01-24 10:25:20,false,"Madrid Carrera","1,38","215","00:16:56","167","191","--","77","230","12:18","4:03","--","1","0,89","--","0,0","--","--","--","--","--","--","1.310","--","No","00:05:21,6","2","--","--","--","00:09:43","00:16:56","576","583"
Carrera,2026-01-24 10:12:23,false,"Madrid Carrera","1,37","129","00:10:34","162","178","--","140","176","7:42","5:26","3","4","0,93","--","0,0","--","--","--","--","--","--","1.486","--","No","00:03:31,8","2","--","--","--","00:09:23","00:10:34","575","583"
Ciclismo en sala,2026-01-22 08:24:29,false,"Ciclismo en sala","0,00","735","01:00:04","170","194","--","--","--","--","--","--","--","--","208","56,9","212","203","709","--","--","--","--","10,0","No","01:00:04","1","17,0","--","--","00:00:00","01:02:18","777","784"
Ciclismo en sala,2026-01-20 17:02:36,false,"Ciclismo en sala","0,00","717","01:00:02","161","189","--","--","--","--","--","--","--","--","208","61,7","188","202","374","--","--","--","--","12,0","No","01:00:02","1","17,0","--","--","00:00:00","01:09:42","747","1.006"
Ciclismo en sala,2026-01-18 15:35:05,false,"Ciclismo en sala","0,00","200","00:21:13","161","177","--","--","--","--","--","--","--","--","166","15,9","154","157","218","--","--","--","--","17,0","No","00:21:13","1","18,0","--","--","00:00:00","00:21:33","716","718"
Ciclismo en sala,2026-01-18 14:31:51,false,"Ciclismo en sala","0,00","801","01:00:06","171","186","--","--","--","--","--","--","--","--","224","83,4","224","222","433","--","--","--","--","16,0","No","01:00:06","1","20,0","--","--","00:00:00","01:02:47","1.007","3.135"
